,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
31,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,4.82,2255097205,32,9405783483.0,290223544.0,5.4,4.78,-0.4048421444551016,-7.75123,-194824783.19745064,-7.95229,470181977.0,1961081706.0,1961081706.0,236.84,-97.96548,2021-04-01T13:29:41.564Z,2.64,82.45408,2022-12-16T22:45:28.552Z,2023-11-16T23:30:51.141Z
32,hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.0604,2032900887,33,3028539161.0,74073025.0,0.063524,0.060231,-0.001401784310407307,-2.26821,-35463181.4031415,-1.71455,33562400522.3264,50000000000.0,50000000000.0,0.569229,-89.36894,2021-09-15T10:40:28.318Z,0.00986111,513.67411,2020-01-02T17:30:24.852Z,2023-11-16T23:30:59.132Z
33,lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,2.25,1999872557,34,2246582847.0,178292973.0,2.55,2.24,-0.187441487773075,-7.68791,-160795712.99412084,-7.44194,890184201.215706,1000000000.0,1000000000.0,7.3,-69.15815,2021-08-20T08:35:20.158Z,0.40615,454.55909,2022-06-18T20:55:12.035Z,2023-11-16T23:31:02.399Z
34,aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,7.23,1990389323,35,7711169871.0,232846170.0,8.21,7.22,-0.4340280748386123,-5.65958,-117547826.56263757,-5.57644,275080157.191928,1065716036.66554,,19.92,-63.58516,2023-01-26T14:25:17.390Z,3.08,135.53451,2022-12-29T21:35:14.796Z,2023-11-16T23:30:52.814Z
35,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.37,1963140174,36,2226843660.0,73133523.0,4.79,4.3,-0.3754473207688802,-7.90908,-168379288.86389232,-7.8995,449509911.051164,509891402.055639,,700.65,-99.37543,2021-05-10T16:05:53.653Z,2.87,52.73997,2023-09-22T00:29:57.369Z,2023-11-16T23:30:55.122Z
36,binance-usd,busd,BUSD,https://assets.coingecko.com/coins/images/9576/large/BUSDLOGO.jpg?1696509654,1.003,1837216133,37,1837216133.0,5918365908.0,1.007,0.988409,0.00479549,0.48034,-4550846.25643301,-0.24709,1836300954.8,1836300954.8,,1.15,-13.21574,2020-03-13T02:35:42.953Z,0.901127,11.15716,2021-05-19T13:04:37.445Z,2023-11-16T23:30:52.323Z
37,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,5.97,1832996555,38,3047876847.0,826652049.0,6.64,5.95,-0.10058238468025227,-1.65812,13940669.0,0.76637,300700561.0,500000000.0,500000000.0,20.87,-70.78838,2021-05-19T00:30:09.436Z,0.00851264,71508.27555,2019-09-28T00:00:00.000Z,2023-11-16T23:30:55.276Z
38,near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.7,1712135813,39,1713661313.0,315251515.0,1.85,1.66,-0.003079397574379028,-0.18051,10140625.0,0.59581,999109800.785076,1000000000.0,,20.44,-91.64699,2022-01-16T22:09:45.873Z,0.526762,224.09251,2020-11-04T16:09:15.137Z,2023-11-16T23:31:02.118Z
39,optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.79,1577338925,40,7690413512.0,217053891.0,1.89,1.77,-0.06269169176481881,-3.38097,-53148799.69183159,-3.25969,880917403.0,4294967296.0,4294967296.0,3.22,-44.25837,2023-02-24T20:20:00.509Z,0.402159,346.75293,2022-06-18T20:54:52.178Z,2023-11-16T23:30:56.090Z
40,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1696502256,0.02092487,1520213770,41,1797655397.0,59460875.0,0.02205165,0.02064019,-0.000973398278369925,-4.44509,-69142481.49335194,-4.35035,72714516834.0,85985041177.0,86712634466.0,0.280991,-92.55462,2021-04-19T01:08:21.675Z,0.00191713,991.2567,2020-03-13T02:29:59.652Z,2023-11-16T23:30:50.661Z
41,mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.483616,1500174374,42,3003892371.0,12537759.0,0.484292,0.458897,0.02471873,5.38655,75842366.0,5.32477,3105990005.01314,6219316794.99,6219316794.99,0.600075,-19.49103,2023-07-20T22:39:30.228Z,0.307978,56.86666,2023-10-18T02:50:46.942Z,2023-11-16T23:30:51.521Z
42,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,100.63,1464828766,43,1471709353.0,28788949.0,106.05,100.35,-3.449475806448689,-3.31428,-47539136.34878397,-3.14336,14544176.164091088,14612493.0,14612493.0,427.42,-76.43579,2021-09-11T09:15:00.668Z,0.215773,46578.01282,2018-08-23T00:00:00.000Z,2023-11-16T23:30:54.865Z
